objectid,title,classification,iiifurl,is_portrait
4374,Medal of King Ferdinand of Hungary and Bohemia,Print,https://api.nga.gov/iiif/fd8904ad-9531-4b69-9207-9b46e94e1831,True
4404,Saint Andrew,Print,https://api.nga.gov/iiif/ec9fbb35-fe0b-4de0-aa5d-4988d022aba8,True
4405,Saint James the Less,Print,https://api.nga.gov/iiif/a1c09e60-498d-4ffe-b0cd-5c2f5f0c2bc9,True
4412,Saint Judas Thaddaeus,Print,https://api.nga.gov/iiif/75e041c8-43e1-478a-9068-b5b543735dde,True
4414,Saint Matthias,Print,https://api.nga.gov/iiif/23386926-c095-4428-97f9-fdb4394b1536,True
4419,Saint Jerome Standing,Print,https://api.nga.gov/iiif/cea28a0d-d1d2-46b7-a3d1-0b4d572b7648,True
4438,Katrina,Print,https://api.nga.gov/iiif/d8bf060e-8de2-4cb2-9764-440ac59be170,True
4466,"Henry Rushbury, No. 2",Print,https://api.nga.gov/iiif/f8d1d319-535f-4ea4-bebf-61d8edf445d3,True
4467,James McBey,Print,https://api.nga.gov/iiif/bfe501ba-5049-4cd0-97a2-61a4898a6d28,True
4470,Geneviève,Print,https://api.nga.gov/iiif/aa21e9bc-4c59-4e41-855c-c5d2f1ae667e,True
4471,Maureen,Print,https://api.nga.gov/iiif/6b3a8e31-f138-469d-99ee-4f39c32c139f,True
4472,By the Window,Print,https://api.nga.gov/iiif/be6307e1-4cd2-4d33-9636-58c5aed1dd24,True
4474,Malvina,Print,https://api.nga.gov/iiif/66f365e1-b58b-4c10-8a52-c32315891a6d,True
4477,"Henry Bell, Esquire",Print,https://api.nga.gov/iiif/6c67a63c-4c72-47fc-8c12-0449d5a92182,True
4479,Girl with a Basket,Print,https://api.nga.gov/iiif/e25e8b58-3291-4fd9-ba17-5ada2b92a603,True
4480,The Black Silk Dress,Print,https://api.nga.gov/iiif/7d68b0a4-53af-497f-ada4-12746229c119,True
4483,Young Womanhood,Print,https://api.nga.gov/iiif/ee59c807-27e7-4692-bc7c-f061b2aa27d7,True
4485,Viba,Print,https://api.nga.gov/iiif/0a6ac540-6f0b-4d71-bd85-0380ea0cc266,True
4486,"Anais, No. 2",Print,https://api.nga.gov/iiif/a9a0bf7c-8ea3-4d66-ba83-c22a187d336d,True
